provinces,Group_Row,Indicator,percentage
Drenthe,"Drugs, 18 years or older",Cannabis lasts 12 months,4.8
Overijssel,"Drugs, 18 years or older",Cannabis lasts 12 months,5.75
Flevoland,"Drugs, 18 years or older",Cannabis lasts 12 months,6
Friesland,"Drugs, 18 years or older",Cannabis lasts 12 months,5.4
Gelderland,"Drugs, 18 years or older",Cannabis lasts 12 months,6.77
Groningen,"Drugs, 18 years or older",Cannabis lasts 12 months,9.4
IJsselmeer,"Drugs, 18 years or older",Cannabis lasts 12 months,6.7
Limburg,"Drugs, 18 years or older",Cannabis lasts 12 months,6.65
Noord-Brabant,"Drugs, 18 years or older",Cannabis lasts 12 months,6.9
Noord-Holland,"Drugs, 18 years or older",Cannabis lasts 12 months,9.22
Utrecht,"Drugs, 18 years or older",Cannabis lasts 12 months,8.45
Zeeland,"Drugs, 18 years or older",Cannabis lasts 12 months,3.7
Zeeuwse meren,"Drugs, 18 years or older",Cannabis lasts 12 months,5
Zuid-Holland,"Drugs, 18 years or older",Cannabis lasts 12 months,8.26